"num1","num2","num3","num4"
6,12,5,13
6,12,5,13
6,5,13,12
6,5,13,12
6,5,12,13
6,5,12,13
5,13,12,6
5,13,12,6
5,13,12,6
5,13,12,6
5,13,12,6
5,13,12,6
5,13,12,6
5,13,6,12
5,13,6,12
5,13,6,12
5,13,6,12
5,13,6,12
5,12,13,6
5,12,13,6
5,12,13,6
5,12,13,6
5,12,13,6
5,12,13,6
5,12,13,6
5,12,6,13
5,12,6,13
5,12,6,13
5,12,6,13
5,12,6,13
5,6,13,12
5,6,13,12
5,6,13,12
5,6,13,12
5,6,13,12
5,6,12,13
5,6,12,13
5,6,12,13
5,6,12,13
5,6,12,13
12,13,6,6
12,13,6,6
12,6,6,13
12,6,6,13
13,12,6,6
13,12,6,6
13,6,6,12
13,6,6,12
13,12,6,7
13,12,6,7
13,12,6,7
13,12,6,7
13,12,6,7
13,12,7,6
13,12,7,6
13,12,7,6
13,12,7,6
13,12,7,6
13,6,12,7
13,6,12,7
13,6,12,7
13,6,12,7
13,6,12,7
13,6,7,12
13,6,7,12
13,6,7,12
13,6,7,12
13,6,7,12
13,7,12,6
13,7,12,6
13,7,12,6
13,7,12,6
13,7,12,6
13,7,6,12
13,7,6,12
13,7,6,12
13,7,6,12
13,7,6,12
13,7,6,12
12,13,6,7
12,13,6,7
12,13,6,7
12,13,6,7
12,13,6,7
12,13,7,6
12,13,7,6
12,13,7,6
12,13,7,6
12,13,7,6
12,6,13,7
12,6,13,7
12,6,13,7
12,6,13,7
12,6,13,7
12,6,7,13
12,6,7,13
12,6,7,13
12,6,7,13
12,6,7,13
12,7,13,6
12,7,13,6
12,7,13,6
12,7,13,6
12,7,13,6
12,7,6,13
12,7,6,13
12,7,6,13
12,7,6,13
12,7,6,13
6,13,12,7
6,13,12,7
6,13,12,7
6,13,12,7
6,13,12,7
6,13,7,12
6,13,7,12
6,13,7,12
6,13,7,12
6,13,7,12
6,13,7,12
6,12,13,7
6,12,13,7
6,12,13,7
6,12,13,7
6,12,13,7
6,12,7,13
6,12,7,13
6,12,7,13
6,12,7,13
6,12,7,13
6,7,13,12
6,7,13,12
6,7,13,12
6,7,13,12
6,7,13,12
6,7,12,13
6,7,12,13
6,7,12,13
6,7,12,13
6,7,12,13
13,12,6,9
13,12,6,9
13,9,12,6
13,9,12,6
13,9,12,6
12,6,13,9
12,6,13,9
12,6,13,9
12,6,13,9
12,6,13,9
12,6,9,13
12,6,9,13
12,6,9,13
12,6,9,13
12,9,13,6
12,9,13,6
12,9,6,13
12,9,6,13
6,13,9,12
6,13,9,12
6,12,9,13
6,9,13,12
6,9,13,12
9,13,12,6
9,13,12,6
9,13,6,12
9,13,6,12
9,13,6,12
9,12,6,13
9,12,6,13
9,6,13,12
9,6,13,12
12,13,10,6
12,13,10,6
12,6,13,10
12,6,13,10
6,13,10,12
6,13,10,12
6,12,13,10
6,12,13,10
13,11,6,12
12,13,11,6
12,6,13,11
12,6,11,13
12,11,13,6
6,13,11,12
13,12,12,6
12,13,12,6
13,12,6,13
13,12,6,13
13,13,12,6
13,13,12,6
13,1,12,7
13,1,12,7
13,1,7,12
13,1,7,12
12,13,1,7
12,13,1,7
12,7,13,1
12,7,13,1
12,7,1,13
12,7,1,13
12,1,13,7
12,1,13,7
1,13,12,7
1,13,12,7
1,13,7,12
1,13,7,12
13,7,2,12
12,13,7,2
12,7,13,2
12,7,13,2
12,2,13,7
12,2,7,13
2,13,7,12
13,12,7,3
13,12,7,3
13,12,3,7
13,12,3,7
13,7,12,3
13,7,12,3
13,7,12,3
13,7,12,3
13,7,12,3
13,7,12,3
13,7,3,12
13,7,3,12
12,13,7,3
12,13,7,3
12,3,13,7
12,3,13,7
12,3,13,7
12,3,13,7
12,3,7,13
12,3,7,13
7,13,12,3
7,13,12,3
7,13,12,3
7,13,12,3
7,12,13,3
7,12,13,3
7,12,3,13
7,12,3,13
3,13,12,7
3,13,12,7
3,13,7,12
3,13,7,12
3,7,13,12
3,7,13,12
3,7,12,13
